종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
017670,SK텔레콤,"253,500","-4,000","1.55","254,000","253,500","594,335","152,344,376,000","259,000","264,500","251,000","500",원(KRW),"80,745,711","20,469,037,738,500",
000660,SK하이닉스,"129,000","-4,000","3.01","129,500","129,000","8,700,877","1,121,945,369,000","132,000","133,500","125,500","5,000",원(KRW),"728,002,365","93,912,305,085,000",
048550,SM C&C,"1,585","30","1.93","1,590","1,585","584,262","919,888,225","1,550","1,595","1,550","500",원(KRW),"94,610,120","149,957,040,200",
063440,SM Life Design,"2,190","165","8.15","2,190","2,185","10,543,490","22,777,513,325","2,035","2,235","2,010","500",원(KRW),"45,129,154","98,832,847,260",
950180,SNK,"29,000","-500","1.69","29,050","29,000","984,926","28,943,887,650","29,100","30,900","28,400","0",일본엔(JPY),"21,061,800","610,792,200,000",
005610,SPC삼립,"74,500","4,100","5.82","74,600","74,500","162,912","12,091,679,000","73,000","75,900","72,600","5,000",원(KRW),"8,629,009","642,861,170,500",
011810,STX,"5,630","40","0.72","5,650","5,630","19,038","107,335,330","5,590","5,720","5,550","2,500",원(KRW),"19,726,902","111,062,458,260",
077970,STX엔진,"7,470","200","2.75","7,480","7,470","36,767","271,369,510","7,270","7,600","7,150","2,500",원(KRW),"23,008,904","171,876,512,880",
071970,STX중공업,"3,845","0","0.00","3,845","3,840","105,018","402,735,825","3,795","3,895","3,740","2,500",원(KRW),"28,365,976","109,067,177,720",
289080,SV인베스트먼트,"5,410","-90","1.64","5,410","5,400","2,358,503","12,912,112,560","5,520","5,680","5,340","500",원(KRW),"53,234,000","287,995,940,000",
084870,TBH글로벌,"1,675","-15","0.89","1,675","1,665","49,028","81,694,585","1,680","1,695","1,650","500",원(KRW),"20,856,819","34,935,171,825",
002710,TCC스틸,"5,430","30","0.56","5,440","5,430","1,569,899","8,667,420,130","5,500","5,650","5,360","1,000",원(KRW),"23,000,000","124,890,000,000",
089230,THE E&M,"1,120","-55","4.68","1,125","1,120","4,741,689","5,285,480,830","1,110","1,165","1,070","100",원(KRW),"160,411,688","179,661,090,560",
161570,THE MIDONG,"2,165","-140","6.07","2,170","2,165","624,709","1,355,880,165","2,225","2,240","2,110","500",원(KRW),"13,791,786","29,859,216,690",
032540,TJ미디어,"3,255","120","3.83","3,255","3,250","41,421","132,697,255","3,135","3,295","3,100","500",원(KRW),"13,931,609","45,347,387,295",
048770,TPC,"4,015","0","0.00","4,015","4,005","54,869","220,276,310","3,990","4,080","3,925","500",원(KRW),"13,480,276","54,123,308,140",
246690,TS인베스트먼트,"3,645","25","0.69","3,645","3,640","355,410","1,288,793,250","3,575","3,720","3,470","500",원(KRW),"24,324,534","88,662,926,430",
317240,TS트릴리온,"2,630","10","0.38","2,630","2,620","238,572","624,562,475","2,650","2,675","2,540","100",원(KRW),"50,454,511","132,695,363,930",
038340,UCI,"2,205","-55","2.43","2,205","2,200","733,347","1,654,141,915","2,320","2,320","2,170","500",원(KRW),"37,397,367","82,461,194,235",
073570,WI,"1,300","-5","0.38","1,305","1,300","368,127","478,001,905","1,285","1,315","1,280","100",원(KRW),"75,840,849","98,593,103,700",
